,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Mohammed Shami,Shivam Mavi,Mohammed Shami,Shivam Mavi,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Yash Dayal,AS Joseph,Shivam Mavi,Yash Dayal
1,Mohammed Shami,Shivam Mavi,Mohammed Shami,Shivam Mavi,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Yash Dayal,AS Joseph,Yash Dayal,Shivam Mavi
2,Mohammed Shami,Shivam Mavi,Mohammed Shami,AS Joseph,Rashid Khan,Mohammed Shami,Shivam Mavi,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Yash Dayal,AS Joseph,Shivam Mavi,Yash Dayal
3,Mohammed Shami,Shivam Mavi,Mohammed Shami,AS Joseph,Rashid Khan,Mohammed Shami,Shivam Mavi,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Yash Dayal,AS Joseph,Yash Dayal,Shivam Mavi
4,Mohammed Shami,Shivam Mavi,Mohammed Shami,AS Joseph,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,Shivam Mavi,Yash Dayal,AS Joseph,Shivam Mavi,Yash Dayal
5,Mohammed Shami,Shivam Mavi,Mohammed Shami,AS Joseph,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,Shivam Mavi,Yash Dayal,AS Joseph,Yash Dayal,Shivam Mavi
6,Mohammed Shami,Shivam Mavi,Mohammed Shami,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Shivam Mavi,AS Joseph,Shivam Mavi,Yash Dayal
7,Mohammed Shami,Shivam Mavi,Mohammed Shami,AS Joseph,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Shivam Mavi,Yash Dayal,Shivam Mavi,Yash Dayal
8,Mohammed Shami,Shivam Mavi,Mohammed Shami,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Shivam Mavi,AS Joseph,Yash Dayal,Shivam Mavi
9,Mohammed Shami,Shivam Mavi,Mohammed Shami,AS Joseph,Rashid Khan,Mohammed Shami,AS Joseph,Rashid Khan,Shivam Mavi,Yash Dayal,Rashid Khan,AS Joseph,Yash Dayal,Rashid Khan,Mohammed Shami,AS Joseph,Yash Dayal,Shivam Mavi,Yash Dayal,Shivam Mavi
